Zeit;Kanal A
(ms);(mV)

-23,98249908;3,35999000
-23,97749908;2,80019700
-23,97249908;3,73339100
-23,96749908;2,98658900
-23,96249908;3,54699800
-23,95749908;3,35999000
-23,95249908;2,98658900
-23,94749908;3,73339100
-23,94249908;1,11958700
-23,93749908;2,80019700
-23,93249908;2,23978800
-23,92749908;2,05339600
-23,92249908;2,05339600
-23,91749908;1,86638800
-23,91249908;2,61318900
-23,90749908;2,05339600
-23,90249908;2,98658900
-23,89749908;2,05339600
-23,89249908;3,17359700
-23,88749908;2,80019700
-23,88249908;3,73339100
-23,87749908;2,61318900
-23,87249908;3,35999000
-23,86749908;3,54699800
-23,86249908;3,17359700
-23,85749908;3,17359700
-23,85249908;3,35999000
-23,84749908;2,23978800
-23,84249908;3,35999000
-23,83749908;2,05339600
-23,83249908;2,98658900
-23,82749908;1,86638800
-23,82249908;1,11958700
-23,81749908;0,93319390
-23,81249908;1,11958700
-23,80749908;0,55979330
-23,80249908;-0,55979330
-23,79749908;-0,37278540
-23,79249908;-0,18639270
-23,78749908;0,55979330
-23,78249908;-0,55979330
-23,77749908;0,00000000
-23,77249908;0,55979330
-23,76749908;0,18639270
-23,76249908;0,55979330
-23,75749908;-0,18639270
-23,75249908;0,55979330
-23,74749908;0,55979330
-23,74249908;0,93319390
-23,73749908;0,74618600
-23,73249908;0,55979330
-23,72749908;1,86638800
-23,72249908;0,93319390
-23,71749908;0,74618600
-23,71249908;0,18639270
-23,70749908;1,30659400
-23,70249908;1,11958700
-23,69749908;1,86638800
-23,69249908;1,49298700
-23,68749909;0,93319390
-23,68249909;0,00000000
-23,67749909;0,93319390
-23,67249909;0,93319390
-23,66749909;2,23978800
-23,66249909;1,49298700
-23,65749909;1,86638800
-23,65249909;1,49298700
-23,64749909;1,67999500
-23,64249909;2,05339600
-23,63749909;0,74618600
-23,63249909;2,23978800
-23,62749909;1,86638800
-23,62249909;1,86638800
-23,61749909;1,67999500
-23,61249909;1,86638800
-23,60749909;1,86638800
-23,60249909;2,80019700
-23,59749909;2,23978800
-23,59249909;1,86638800
-23,58749909;1,49298700
-23,58249909;2,42679600
-23,57749909;2,61318900
-23,57249909;2,42679600
-23,56749909;2,23978800
-23,56249909;2,05339600
-23,55749909;2,80019700
-23,55249909;2,80019700
-23,54749909;2,42679600
-23,54249909;2,80019700
-23,53749909;2,42679600
-23,53249909;2,80019700
-23,52749909;2,42679600
-23,52249909;2,42679600
-23,51749909;2,42679600
-23,51249909;2,80019700
-23,50749909;2,98658900
-23,50249909;2,98658900
-23,49749909;2,98658900
-23,49249909;3,92039800
-23,48749909;3,35999000
-23,48249909;2,80019700
-23,47749909;3,73339100
-23,47249909;3,92039800
-23,46749909;3,54699800
-23,46249909;3,92039800
-23,45749909;4,29379900
-23,45249909;3,73339100
-23,44749909;4,29379900
-23,44249909;3,73339100
-23,43749909;4,10679100
-23,43249909;3,73339100
-23,42749909;3,17359700
-23,42249909;2,61318900
-23,41749909;2,98658900
-23,41249909;1,86638800
-23,40749909;1,86638800
-23,40249909;1,86638800
-23,39749909;1,49298700
-23,39249909;1,11958700
-23,38749909;0,93319390
-23,38249909;0,74618600
-23,37749909;0,18639270
-23,37249909;0,55979330
-23,36749909;0,18639270
-23,36249909;0,37278540
-23,35749909;-0,37278540
-23,35249909;-0,18639270
