Zeit;Kanal A
(s);(V)

-4,97879966;2,94214400
-4,97869966;2,94214400
-4,97859966;2,89554600
-4,97849966;2,94214400
-4,97839966;2,94214400
-4,97829966;2,94214400
-4,97819966;2,94214400
-4,97809966;2,94214400
-4,97799966;2,94214400
-4,97789966;2,94214400
-4,97779966;2,94214400
-4,97769966;2,94214400
-4,97759966;2,94214400
-4,97749966;2,94214400
-4,97739966;2,94214400
-4,97729966;2,94214400
-4,97719966;2,94214400
-4,97709966;2,94214400
-4,97699966;2,98889600
-4,97689966;2,94214400
-4,97679966;2,94214400
-4,97669966;2,94214400
-4,97659966;2,94214400
-4,97649966;2,94214400
-4,97639966;2,94214400
-4,97629966;2,94214400
-4,97619966;2,94214400
-4,97609966;2,94214400
-4,97599966;2,94214400
-4,97589966;2,94214400
-4,97579966;2,94214400
-4,97569966;2,94214400
-4,97559966;2,94214400
-4,97549966;2,94214400
-4,97539966;2,98889600
-4,97529966;2,94214400
-4,97519966;2,98889600
-4,97509966;2,94214400
-4,97499966;2,94214400
-4,97489966;2,94214400
-4,97479966;2,94214400
-4,97469966;2,94214400
-4,97459966;2,94214400
-4,97449966;2,98889600
-4,97439966;2,98889600
-4,97429966;2,98889600
-4,97419966;2,94214400
-4,97409966;2,98889600
-4,97399966;2,98889600
-4,97389966;2,94214400
-4,97379966;2,94214400
-4,97369966;2,94214400
-4,97359966;2,98889600
-4,97349966;2,94214400
-4,97339966;2,94214400
-4,97329966;2,94214400
-4,97319966;2,98889600
-4,97309966;2,94214400
-4,97299966;2,94214400
-4,97289966;2,89554600
-4,97279966;2,98889600
-4,97269966;2,94214400
-4,97259966;2,94214400
-4,97249966;2,94214400
-4,97239966;2,98889600
-4,97229966;2,94214400
-4,97219966;2,98889600
-4,97209966;2,98889600
-4,97199966;2,94214400
-4,97189966;2,94214400
-4,97179966;2,98889600
-4,97169966;2,94214400
-4,97159966;2,94214400
-4,97149966;2,94214400
-4,97139966;2,94214400
-4,97129966;2,94214400
-4,97119966;2,94214400
-4,97109966;2,94214400
-4,97099966;2,94214400
-4,97089966;2,98889600
-4,97079966;2,94214400
-4,97069966;2,94214400
-4,97059966;2,94214400
-4,97049966;2,94214400
-4,97039966;2,94214400
-4,97029966;2,94214400
-4,97019966;2,94214400
-4,97009966;2,94214400
