Zeit;Kanal A
(ms);(V)

-5,00010009;0,60562250
-4,99999609;0,60562250
-4,99989209;0,60562250
-4,99978809;0,60562250
-4,99968409;0,60562250
-4,99958009;0,65222070
-4,99947609;0,60562250
-4,99937209;0,60562250
-4,99926809;0,60562250
-4,99916409;0,60562250
-4,99906009;0,60562250
-4,99895609;0,60562250
-4,99885209;0,60562250
-4,99874809;0,60562250
-4,99864409;0,60562250
-4,99854009;0,65222070
-4,99843609;0,60562250
-4,99833209;0,60562250
-4,99822809;0,65222070
-4,99812409;0,60562250
-4,99802009;0,60562250
-4,99791609;0,60562250
-4,99781209;0,60562250
-4,99770809;0,65222070
-4,99760409;0,60562250
-4,99750009;0,60562250
-4,99739609;0,60562250
-4,99729209;0,60562250
-4,99718809;0,60562250
-4,99708409;0,60562250
-4,99698009;0,60562250
-4,99687609;0,60562250
-4,99677209;0,60562250
-4,99666809;0,60562250
-4,99656409;0,60562250
-4,99646009;0,60562250
-4,99635609;0,60562250
-4,99625209;0,60562250
-4,99614809;0,60562250
-4,99604409;0,60562250
-4,99594009;0,60562250
-4,99583609;0,60562250
-4,99573209;0,60562250
-4,99562809;0,65222070
-4,99552409;0,65222070
-4,99542009;0,60562250
-4,99531609;0,60562250
-4,99521209;0,60562250
-4,99510809;0,65222070
-4,99500409;0,60562250
-4,99490009;0,60562250
-4,99479609;0,60562250
-4,99469209;0,60562250
-4,99458809;0,60562250
-4,99448409;0,65222070
-4,99438009;0,60562250
-4,99427609;0,60562250
-4,99417209;0,60562250
-4,99406809;0,60562250
-4,99396409;0,60562250
-4,99386009;0,60562250
-4,99375609;0,60562250
-4,99365209;0,60562250
-4,99354809;0,60562250
-4,99344409;0,65222070
-4,99334009;0,60562250
-4,99323609;0,60562250
-4,99313209;0,60562250
-4,99302809;0,60562250
-4,99292409;0,60562250
-4,99282009;0,60562250
-4,99271609;0,60562250
-4,99261209;0,60562250
-4,99250809;0,60562250
-4,99240409;0,60562250
-4,99230009;0,60562250
-4,99219609;0,60562250
-4,99209209;0,60562250
-4,99198809;0,60562250
-4,99188409;0,60562250
-4,99178009;0,60562250
-4,99167609;0,60562250
-4,99157209;0,60562250
-4,99146809;0,60562250
-4,99136409;0,60562250
-4,99126009;0,60562250
-4,99115609;0,60562250
-4,99105209;0,60562250
-4,99094809;0,60562250
-4,99084409;0,60562250
-4,99074009;0,60562250
-4,99063609;0,60562250
-4,99053209;0,60562250
-4,99042809;0,65222070
-4,99032409;0,60562250
-4,99022009;0,60562250
-4,99011609;0,60562250
-4,99001209;0,60562250
-4,98990809;0,60562250
-4,98980409;0,60562250
-4,98970009;0,60562250
-4,98959609;0,60562250
-4,98949209;0,60562250
-4,98938809;0,60562250
-4,98928409;0,60562250
-4,98918009;0,60562250
-4,98907609;0,65222070
-4,98897209;0,60562250
-4,98886809;0,60562250
-4,98876409;0,60562250
-4,98866009;0,60562250
-4,98855609;0,60562250
-4,98845209;0,65222070
-4,98834809;0,60562250
-4,98824409;0,65222070
-4,98814009;0,60562250
-4,98803609;0,60562250
-4,98793209;0,60562250
