Zeit;Kanal A
(ms);(V)

-5,00004925;1,11804900
-4,99994525;1,11804900
-4,99984125;1,11804900
-4,99973725;1,16464700
-4,99963325;1,11804900
-4,99952925;1,11804900
-4,99942525;1,11804900
-4,99932125;1,11804900
-4,99921725;1,11804900
-4,99911325;1,11804900
-4,99900925;1,11804900
-4,99890525;1,11804900
-4,99880125;1,11804900
-4,99869725;1,11804900
-4,99859325;1,11804900
-4,99848925;1,11804900
-4,99838525;1,16464700
-4,99828125;1,16464700
-4,99817725;1,11804900
-4,99807325;1,11804900
-4,99796925;1,16464700
-4,99786525;1,11804900
-4,99776125;1,11804900
-4,99765725;1,16464700
-4,99755325;1,11804900
-4,99744925;1,11804900
-4,99734525;1,11804900
-4,99724125;1,11804900
-4,99713725;1,11804900
-4,99703325;1,16464700
-4,99692925;1,11804900
-4,99682525;1,11804900
-4,99672125;1,11804900
-4,99661725;1,11804900
-4,99651325;1,11804900
-4,99640925;1,16464700
-4,99630525;1,11804900
-4,99620125;1,11804900
-4,99609725;1,11804900
-4,99599325;1,11804900
-4,99588925;1,11804900
-4,99578525;1,11804900
-4,99568125;1,11804900
-4,99557725;1,16464700
-4,99547325;1,11804900
-4,99536925;1,11804900
-4,99526525;1,11804900
-4,99516125;1,16464700
-4,99505725;1,11804900
-4,99495325;1,11804900
-4,99484925;1,11804900
-4,99474525;1,11804900
-4,99464125;1,11804900
-4,99453725;1,11804900
-4,99443325;1,11804900
-4,99432925;1,11804900
-4,99422525;1,11804900
-4,99412125;1,11804900
-4,99401725;1,11804900
-4,99391325;1,11804900
-4,99380925;1,16464700
-4,99370525;1,11804900
-4,99360125;1,16464700
-4,99349725;1,11804900
-4,99339325;1,11804900
-4,99328925;1,11804900
-4,99318525;1,11804900
-4,99308125;1,16464700
-4,99297725;1,16464700
-4,99287325;1,16464700
-4,99276925;1,11804900
-4,99266525;1,11804900
-4,99256125;1,11804900
-4,99245725;1,11804900
-4,99235325;1,11804900
-4,99224925;1,11804900
-4,99214525;1,11804900
-4,99204125;1,11804900
-4,99193725;1,11804900
-4,99183325;1,11804900
-4,99172925;1,11804900
-4,99162525;1,11804900
-4,99152125;1,16464700
-4,99141725;1,11804900
-4,99131325;1,11804900
-4,99120925;1,16464700
-4,99110525;1,11804900
-4,99100125;1,11804900
-4,99089725;1,11804900
-4,99079325;1,11804900
-4,99068925;1,16464700
-4,99058525;1,16464700
-4,99048125;1,11804900
-4,99037725;1,11804900
-4,99027325;1,11804900
-4,99016925;1,16464700
-4,99006525;1,11804900
-4,98996125;1,11804900
-4,98985725;1,11804900
-4,98975325;1,11804900
-4,98964925;1,11804900
-4,98954525;1,11804900
-4,98944125;1,16464700
-4,98933725;1,11804900
-4,98923325;1,11804900
-4,98912925;1,11804900
-4,98902525;1,16464700
-4,98892125;1,16464700
-4,98881725;1,16464700
-4,98871325;1,16464700
-4,98860925;1,11804900
-4,98850525;1,11804900
-4,98840125;1,11804900
-4,98829725;1,11804900
-4,98819325;1,11804900
-4,98808925;1,16464700
-4,98798525;1,11804900
-4,98788125;1,11804900
